PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,YEAR,SAMPLE_TYPE,SAM_CODE,SAMPLE_CAT,AL,AL_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,K,K_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,NH4,NH4_ALERT,NO2,NO2_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,CHEM_COM,HUC_8,XLAT_DD,XLON_DD,AGGR_ECO9_2015
17-Feb-15,10973,FW08NV058,24-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,S,3518.16,S,38.99,S,22.0,S,12.0,HS,483.89,S,2.47,S,8.043,S,11.98,S,48.08,S,0.006,RS,0.0,RS,0.0,RS,,,311.0,HS,8.62,HS,68.1388,HS,20.575,HS,43.27,S,67.4,S,38.74,HS,,16040105,40.78798,-117.04361999999999,['XER']
17-Feb-15,10978,FW08NV041,8-Jul-08,1,2008,CHEMW,REGULAR,P,0.0266,S,3730.26,S,41.65,S,8.74,S,30.0,HS,428.0,S,7.23,HS,7.256,S,14.99,S,25.5,S,0.015,RS,0.0,RS,0.0,RS,,,630.0,HS,8.54,HS,114.7138,HS,27.197,HS,32.17,S,4.4,S,6.28,HS,,16040102,41.32113,-115.65762,['XER']
17-Feb-15,10979,FW08NV039,5-Jun-08,1,2008,CHEMW,REGULAR,P,0.0228,S,583.42,S,5.088,S,2.79,S,9.0,HS,79.69,HS,2.13,S,2.376,S,1.369,HS,7.664,S,0.005,RS,0.0,RS,0.00093,RS,,,213.0,S,7.67,HS,62.84,S,30.48,S,6.24,S,7.7,S,5.09,HS,,16040109,41.77111,-117.38346999999999,['XER']
17-Feb-15,10989,FW08NV062,23-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,3702.8,,40.69,,23.9,,4.0,R,506.75,,2.56,,7.877999999999999,,11.6,,50.32,,0.008,R,0.0,R,0.0,R,,,323.0,H,8.6,,81.22,H,22.473000000000003,H,43.05,,54.9,,40.61,,,16040105,41.00571,-117.33928999999999,['XER']
17-Feb-15,10990,FW08NV063,10-Jul-08,1,2008,CHEMW,REGULAR,P,0.0072,,3401.95,,27.93,,25.1,,4.0,HR,453.7,,0.93,,2.992,,19.98,,39.88,,0.008,R,0.0,R,0.0,R,,,166.0,H,8.97,H,24.3888,H,22.854,,40.1,,9.2,,6.39,H,,16040104,40.3944,-116.12307,['XER']
17-Feb-15,10991,FW08NV065,17-Jul-08,1,2008,CHEMW,REGULAR,P,0.0091,S,426.3,S,3.7310000000000003,S,0.7,S,1.0,HRS,47.32,S,1.01,S,0.746,S,0.531,S,5.42,S,0.002,RS,0.0,RS,0.0022600000000000003,RS,,,107.0,HS,7.59,HS,25.7963,HS,26.504,S,1.35,S,2.6,S,1.93,HRS,,16040107,38.78157,-117.33944,['XER']
17-Feb-15,10992,FW08NV066,28-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,S,4254.91,HS,47.25,S,43.09,HS,11.0,HS,655.78,HS,2.41,S,9.657,S,14.37,S,71.5,S,0.004,RS,0.0,RS,0.0,HRS,,,328.0,HS,8.57,HS,81.5581,HS,33.817,HS,65.3,HS,96.2,S,35.07,HS,,16040108,40.69729,-118.10096999999999,['XER']
17-Feb-15,10993,FW08NV069,9-Sep-08,2,2008,CHEMW,REGULAR,P,0.0012,,2490.56,,30.97,,8.32,,14.0,,316.49,,1.68,,8.683,,6.561,,18.21,,,,0.0,R,0.0,R,,,284.0,H,8.43,,50.5525,H,53.06399999999999,,19.41,,20.5,,10.8,,,17040213,41.8866,-114.6862,['XER']
17-Feb-15,10994,FW08CA020,18-Sep-08,1,2008,CHEMB,REGULAR,P,0.0008,S,1518.02,S,14.04,S,4.57,S,11.0,HS,174.73,S,3.13,S,1.814,S,7.167000000000001,S,9.568,S,0.013999999999999999,RS,0.0,RS,0.01299,RS,,,488.0,HS,8.31,HS,82.6238,HS,26.585,HS,5.81,S,1.8,S,5.29,HS,,18010209,41.318532,-123.52796000000001,['WMT']
17-Feb-15,10995,FW08CA031,15-Sep-08,1,2008,CHEMB,REGULAR,P,0.0046,S,1776.62,S,21.13,S,4.46,HS,10.0,S,200.09,S,1.79,S,1.052,S,8.913,S,6.519,S,0.008,RS,0.0,RS,0.00242,HRS,,,159.0,HS,8.3,S,40.875,HS,10.444,S,7.95,HS,3.9,S,4.65,S,,18010110,38.81627,-123.01118999999998,['XER']
