HUC_8,P,N,K,PManure,NManure,KManure,PFert,NFert,KFert
02010005,268745.16587433143,1735746.1602573781,928853.2951063301,215871.5696205893,1114828.1180626424,732453.5802468451,52873.59625374215,620918.0421947357,196399.71485948496
02010006,58928.491111099385,350795.5501705066,191817.2919534602,42348.84489231493,202587.95891560626,132681.53792587493,16579.64621878445,148207.59125490033,59135.75402758525
02010007,641979.0603878828,4523803.652734004,2347193.3800806617,533969.4633182522,2841780.4880857663,1867079.1128212174,108009.59706963047,1682023.1646482374,480114.2672594445
02010008,1470106.1528058883,9125229.230246505,4824112.269679842,1116919.9446787292,5493243.688490585,3604844.9578311536,353186.2081271592,3631985.541755919,1219267.3118486882
02020001,10111.021184854113,46010.60650633297,27679.37587346028,8039.055264123248,32376.48180393995,21204.426075107192,2071.965920730865,13634.124702393025,6474.94979835309
02020002,29297.495663925332,147955.10921498193,91193.0591526842,21358.563724046267,103211.38728882409,67596.54262188553,7938.931939879064,44743.72192615785,23596.516530798683
02020003,857095.550071219,5063314.060945736,2896439.1361353686,570552.8641723843,2705108.382419176,1772562.956155787,286542.68589883466,2358205.678526561,1123876.1799795814
02020004,1537594.3614172074,8265429.195273369,5209833.502790121,931924.6691651464,4917480.978186917,3220620.525965773,605669.692252061,3347948.217086452,1989212.9768243488
02020005,297419.22550085105,1498770.39951901,923988.3251247384,198694.52838535004,894959.3034839536,586138.373596873,98724.69711550104,603811.0960350565,337849.95152786537
02020006,622318.6833996518,3626406.53485851,2087806.8792706155,342375.93187791354,1452822.2762911057,951551.430143308,279942.75152173825,2173584.258567404,1136255.4491273076
02020007,402896.0638253516,2554830.200371695,1373542.7818502062,150506.31791738234,699416.5817319968,453941.0365617488,252389.74590796925,1855413.6186396985,919601.7452884574
02020008,158120.86754271205,1100592.4906293224,593635.9259804022,55255.63686118731,194426.77340853703,127336.50827654595,102865.23068152473,906165.7172207852,466299.4177038562
02030101,56085.23252214672,394535.9732370905,148265.77623580338,41817.73184770749,8457.894268369491,5542.184289057221,14267.500674439229,386078.07896872103,142723.59194674616
02030102,606.9635671480395,15506.473303963267,4732.721755495862,42.49255465107667,236.930692523252,155.29206491713734,564.4710124969628,15269.542611440014,4577.429690578725
